reference_number;entry_date;amount;debit_account_code;credit_account_code;debit_account_name_src;credit_account_name_src;txn_description;classification_code;work_item_code;expenses_code;transaction_classification name;work_items  descrip;expenses_categories description
690-02;31/01/2025;25110349.6;4110;1210;إيرادات العقود الإنشائية الأساسية;ذمم تجارية - العملاء;مستخلص رقم  32;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
691-01;31/01/2025;120010.72;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم  32;8;1;30002;قيد سداد الايراد;مصاريف ادارية;حساب نقابه المهن الهندسيه 
691-02;31/01/2025;20000;1210;1270;ذمم تجارية - العملاء;مدينون متنوعون;مستخلص رقم  32;8;1;30003;قيد سداد الايراد;مصاريف ادارية;تعليه لحين نهو التراخيص
691-03;31/01/2025;143141.57;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم  32;8;1;95;قيد سداد الايراد;مصاريف ادارية;دمغة عادية
691-04;31/01/2025;429424.7;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم  32;8;1;96;قيد سداد الايراد;مصاريف ادارية;دمغة اضافية
691-05;31/01/2025;251103.49;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم  32;8;1;99;قيد سداد الايراد;مصاريف ادارية;صندوق تحيا مصر
691-06;31/01/2025;100;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم  32;8;1;30004;قيد سداد الايراد;مصاريف ادارية;تصوير مستندات
691-07;31/01/2025;2;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم  32;8;1;104;قيد سداد الايراد;مصاريف ادارية;تنميه موارد
691-08;31/01/2025;238403.95;1210;2430;ذمم تجارية - العملاء;ضرائب استقطاع عند المنبع مستحقة;مستخلص رقم  32;8;;30008;قيد سداد الايراد;;ضرائب ت - ص 1%
691-09;31/01/2025;1333452.395;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم  32;8;;30009;قيد سداد الايراد;;تأمين ضمان اعمال  5%
691-10;31/01/2025;62775.87;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم  32;8;;30010;قيد سداد الايراد;;ازالة مخلفات 0.25%
691-11;31/01/2025;1269954.66;1210;2410;ذمم تجارية - العملاء;ضريبة القيمة المضافة على المخرجات;مستخلص رقم  32;8;;30007;قيد سداد الايراد;;ضرائب قيمة مضافة 5%
691-12;31/01/2025;2666904.79;1210;2230;ذمم تجارية - العملاء;دفعات مقدمة من العملاء / التزامات تعاقدية;مستخلص رقم  32;8;;30006;قيد سداد الايراد;;استهلاك الدفعة المقدمة 10%
692-01;31/01/2025;17003218;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم  32;8;30000;40000;قيد سداد الايراد;شركة البركة;بنك مصر رقم حساب
692-02;31/01/2025;1571857;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم  32;8;30001;40000;قيد سداد الايراد;شركة الحديبية;بنك مصر رقم حساب
694-01;22/12/2022;800;1120;1110;البنوك;الخزينة;عهده موقع;1;;10000;وارد خزينة;;عهده موقع
695-01;03/01/2023;2000;1120;5100;البنوك;تكاليف تنفيذ مباشرة;تحويل للاستاذ محمد مرعي ;2;1;50;صرف خزينة;مصاريف ادارية;مرتبات
697-01;17/05/2022;1100;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مشوار ال 21 عماره الخضراء;2;1;36;صرف خزينة;مصاريف ادارية;مصاريف سفر و انتقال
698-01;25/05/2022;1280;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مشوار ال 21 عماره الخضراء+بنزين+نثريات+مواصلات;2;1;36;صرف خزينة;مصاريف ادارية;مصاريف سفر و انتقال
699-01;29/05/2022;1185;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مشوار ال 21 عماره الخضراء+بنزين+نثريات+مواصلات;2;1;36;صرف خزينة;مصاريف ادارية;مصاريف سفر و انتقال
700-01;29/05/2022;100;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مواصلات المهندس طارق من المنصوره الي الموقع;2;1;36;صرف خزينة;مصاريف ادارية;مصاريف سفر و انتقال
701-01;30/05/2022;6759;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;سكن شهر 6+ شهر تامين + سمسره نصف شهر  ;2;1;62;صرف خزينة;مصاريف ادارية;إيجار شقق
702-01;30/05/2022;4506;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;شهر تامين لسكن الموظفين في بدايه الايجار;2;1;21;صرف خزينة;مصاريف ادارية;تامين لدي الغير
703-01;30/05/2022;45;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مواصلات جهاز بدر+طباعه لوحات;2;1;36;صرف خزينة;مصاريف ادارية;مصاريف سفر و انتقال
704-01;31/05/2022;90;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مواصلات الموقع لبدر + مواصلات المكتبه+ طباعه لوحات +دوسيه;2;1;36;صرف خزينة;مصاريف ادارية;مصاريف سفر و انتقال
705-01;01/06/2022;100;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مواصلات الموقع لبدر ومن بدر للموقع;2;1;36;صرف خزينة;مصاريف ادارية;مصاريف سفر و انتقال
706-01;02/06/2022;30;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مواصلات يدر للمكتبه وطباعه وتصوير;2;1;36;صرف خزينة;مصاريف ادارية;مصاريف سفر و انتقال
707-01;05/06/2022;100;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مواصلات بدر -جهاز الحدائق والعوده;2;1;36;صرف خزينة;مصاريف ادارية;مصاريف سفر و انتقال
708-01;06/06/2022;350;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مواصلات عربيه مخصوص لبدر  ( مكتب استشاري);2;1;36;صرف خزينة;مصاريف ادارية;مصاريف سفر و انتقال
709-01;06/06/2022;120;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مواصلات  لبدر   ( مكتب استشاري);2;1;36;صرف خزينة;مصاريف ادارية;مصاريف سفر و انتقال
710-01;07/06/2022;790;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;بنزين + ضيافه;2;1;18;صرف خزينة;مصاريف ادارية;بوفية وضيافة
711-01;07/06/2022;200;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مواصلات عربيه  لبدر   ( جهاز استشاري);2;1;36;صرف خزينة;مصاريف ادارية;مصاريف سفر و انتقال
712-01;08/06/2022;50;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مواصلات الغفير للموقع;2;1;36;صرف خزينة;مصاريف ادارية;مصاريف سفر و انتقال
713-01;08/06/2022;25;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;طباعه لوحات+دوسيه+ كشكول;2;1;26;صرف خزينة;مصاريف ادارية;مصاريف تصوير
714-01;08/06/2022;6300;1110;1600;الخزينة;أعمال تحت التنفيذ;من حساب المساح ( ميزانيه شبكيه);2;4;72;صرف خزينة;حفر وردم وتسوية;مصاريف مساحة
715-01;08/06/2022;120;1110;1430;الخزينة;أجهزة الحاسب;فلاشه;2;1;30;صرف خزينة;مصاريف ادارية;حاسب الى
716-01;08/06/2022;50000;1110;1600;الخزينة;أعمال تحت التنفيذ;من ح/اختبارات جسات التريه لل 21 عماره(محمود عاشور);2;4;108;صرف خزينة;حفر وردم وتسوية;جسات التربه
717-01;09/06/2022;100;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مواصلات بدر -جهاز الحدائق والعوده;2;1;36;صرف خزينة;مصاريف ادارية;مصاريف سفر و انتقال
718-01;09/06/2022;345;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;تصوير المقايسه 4 نسخ ( 780 ورقه) + 4 دوسيه;2;1;26;صرف خزينة;مصاريف ادارية;مصاريف تصوير
719-01;10/06/2022;5400;1110;1430;الخزينة;أجهزة الحاسب;لاب توب;2;1;30;صرف خزينة;مصاريف ادارية;حاسب الى
720-01;10/06/2022;1000;1110;5100;الخزينة;تكاليف تنفيذ مباشرة; 1000 من مرتب م. طارق;2;1;50;صرف خزينة;مصاريف ادارية;مرتبات
721-01;11/06/2022;100;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مواصلات بدر -جهاز الحدائق والعوده;2;1;36;صرف خزينة;مصاريف ادارية;مصاريف سفر و انتقال
722-01;12/06/2022;6800;1110;1420;الخزينة;الآلات والمعدات;ميزان قامه سوكيا;2;1;49;صرف خزينة;مصاريف ادارية;لوازم و مهمات
723-01;12/06/2022;150;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;شنطه لاب;2;1;30;صرف خزينة;مصاريف ادارية;حاسب الى
724-01;12/06/2022;300;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مواصلات الشيخ زايد وعابدين والعودة لبدر;2;1;36;صرف خزينة;مصاريف ادارية;مصاريف سفر و انتقال
725-01;12/06/2022;350;1110;1420;الخزينة;الآلات والمعدات;كشاف للغفير+ 2 خط تيليفون ;2;1;49;صرف خزينة;مصاريف ادارية;لوازم و مهمات
726-01;13/06/2022;350;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;عربيه مخصوص  للجهاز ;2;1;36;صرف خزينة;مصاريف ادارية;مصاريف سفر و انتقال
727-01;14/06/2022;1685;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;شريط صاج 50 م +مواصلات موقع +2 فاتوره بنزين ا. علي +ضيافه ا. علي+طباعه لوحات;2;1;37;صرف خزينة;مصاريف ادارية;سيارات الشركة
728-01;15/06/2022;1325;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مواصلات موقع +بكره خيط + عربون ايجار شقه جديدة للمهندسين ;2;1;62;صرف خزينة;مصاريف ادارية;إيجار شقق
729-01;16/06/2022;15000;1110;2120;الخزينة;حساب مستحقات مقاولي الباطن;دفعه لمقاول الحفر;5;4;1104;دفعة مقاول;حفر وردم وتسوية;ياسين حفر
730-01;16/06/2022;300;1110;5100;الخزينة;تكاليف تنفيذ مباشرة; 2يوميه عامل لتوضيح حدود الحفر;2;4;2;صرف خزينة;حفر وردم وتسوية;اجور يومية
731-01;16/06/2022;420;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مواصلات موقع  300 جنيه + شراء مطرقه 120ج +;2;1;36;صرف خزينة;مصاريف ادارية;مصاريف سفر و انتقال
732-01;16/06/2022;700;1110;1420;الخزينة;الآلات والمعدات;ايجار هراس لعماره( 43 ) ;2;4;24;صرف خزينة;حفر وردم وتسوية;تسويه التربه 
733-01;16/06/2022;600;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;4يوميات عماله للغفير  لم حديد من الموقع وتوضيح حدود الحفر بالجير وميزان القامه و صب أماكن الروبير ونقل جهاز اختبار التحمل;2;1;2;صرف خزينة;مصاريف ادارية;اجور يومية
734-01;16/06/2022;1600;1110;1410;الخزينة;الأثاث والتجهيزات;شراء 2 تنك مياه لعماره 43 . 38;2;34;53;صرف خزينة;خزانات مياه;مياة
735-01;18/06/2022;50;1110;1410;الخزينة;الأثاث والتجهيزات;شيكاره جير للتخطيط والحفر;2;4;24;صرف خزينة;حفر وردم وتسوية;تسويه التربه 
736-01;18/06/2022;110;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;فاتوره ;2;1;4;صرف خزينة;مصاريف ادارية;ادوات مكتبيه 
737-01;18/06/2022;5000;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;ايجار شقه جديده للمهندسيين ( سهر مقدم 4000 ج + +سمسره 1000ج;2;1;62;صرف خزينة;مصاريف ادارية;إيجار شقق
738-01;18/06/2022;4000;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;شهر تامين لسكن الموظفين في بدايه الايجار;2;1;21;صرف خزينة;مصاريف ادارية;تامين لدي الغير
739-01;18/06/2022;100;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مواصلات نقل جهاز اختبار التحمل عماره 38.43;2;1;36;صرف خزينة;مصاريف ادارية;مصاريف سفر و انتقال
740-01;18/06/2022;300;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مواصلات موقع;2;1;36;صرف خزينة;مصاريف ادارية;مصاريف سفر و انتقال
741-01;19/06/2022;7800;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;تقارير اختبار تحمل لعمارات 38.43 ومعاينه قاع الحفر 42.43.38مكتب ( هلال جروب );2;4;24;صرف خزينة;حفر وردم وتسوية;تسويه التربه 
742-01;19/06/2022;50000;1110;1410;الخزينة;الأثاث والتجهيزات;من حساب الكرفان;2;30;1;صرف خزينة;كرفان ;اثاث
743-01;19/06/2022;5000;1110;1410;الخزينة;الأثاث والتجهيزات;باقي حساب الكرافان;2;30;1;صرف خزينة;كرفان ;اثاث
744-01;19/06/2022;3000;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;كارته طريق للكرافان;2;1;71;صرف خزينة;مصاريف ادارية;رسوم طريق
745-01;19/06/2022;100;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;اكراميه سواق سياره الكرفان ( تنزيل);2;1;11;صرف خزينة;مصاريف ادارية;اكراميات
746-01;19/06/2022;80;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مواصلات المهندسيين من الموقع لبدر بسبب وجود العربيه في مشوار الكرافان;2;1;36;صرف خزينة;مصاريف ادارية;مصاريف سفر و انتقال
747-01;19/06/2022;665;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;فاتوره (5 خوزة +5فست+لفه شريط تحزير);2;1;49;صرف خزينة;مصاريف ادارية;لوازم و مهمات
748-01;20/06/2022;3000;1110;2120;الخزينة;حساب مستحقات مقاولي الباطن;دفعه لمقاول الحفر;5;4;1104;دفعة مقاول;حفر وردم وتسوية;ياسين حفر
749-01;20/06/2022;1500;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;سياره الموقع 5 ايام;2;1;38;صرف خزينة;مصاريف ادارية;سيارات مؤجرة
750-01;20/06/2022;100;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;ضيافه البنك الدولي;2;1;11;صرف خزينة;مصاريف ادارية;اكراميات
751-01;20/06/2022;100;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;اكراميه صب عاديه 43;2;1;11;صرف خزينة;مصاريف ادارية;اكراميات
752-01;20/06/2022;360;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;2 يوميات عامل رش ماء وميزان وردم اجناب العاديه عمارات 37.38.30.25.26;2;1;2;صرف خزينة;مصاريف ادارية;اجور يومية
753-01;20/06/2022;80;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;ضيافه استشاري +معمل التربه;2;1;11;صرف خزينة;مصاريف ادارية;اكراميات
754-01;20/06/2022;400;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مواصلات شراء الكرافان;2;1;36;صرف خزينة;مصاريف ادارية;مصاريف سفر و انتقال
755-01;20/06/2022;100;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مواصلات معمل التربه ( تقارير) مصر الجديده;2;1;36;صرف خزينة;مصاريف ادارية;مصاريف سفر و انتقال
756-01;20/06/2022;65;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;فاتوره طباعه;2;1;4;صرف خزينة;مصاريف ادارية;ادوات مكتبيه 
757-01;21/06/2022;350;1110;1410;الخزينة;الأثاث والتجهيزات;عربيه نقل تجهيزات الكرافان (دواليب +مكاتب);2;30;1;صرف خزينة;كرفان ;اثاث
758-01;21/06/2022;12068;1110;1410;الخزينة;الأثاث والتجهيزات;المكاتب +الكراسي +الدواليب +المولد+مراوح +خزان;2;30;1;صرف خزينة;كرفان ;اثاث
759-01;21/06/2022;100;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;2مشوارلحضور اختبارات عمارات 37+38;2;1;24;صرف خزينة;مصاريف ادارية;تسويه التربه 
760-01;21/06/2022;200;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;اكراميه موظف معمل التربه;2;1;11;صرف خزينة;مصاريف ادارية;اكراميات
761-01;21/06/2022;50;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;غيار زيت للمولد;2;1;90;صرف خزينة;مصاريف ادارية;سولار
762-01;21/06/2022;420;1110;1410;الخزينة;الأثاث والتجهيزات;كراسي بلاستك;2;35;1;صرف خزينة;اصول;اثاث
763-01;21/06/2022;1235;1110;1410;الخزينة;الأثاث والتجهيزات;"خرطوم بلاستك 3""";2;35;110;صرف خزينة;اصول;"خرطوم بلاستك 3"""
764-01;21/06/2022;300;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;سهره استشاري صب عاديه 38+اكراميه بامب صب عاديه 38;2;5;82;صرف خزينة;خرسانة عادية;مصاريف استشارى
765-01;21/06/2022;250;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;يوميه عامل +سهره رش ماء +تظبيط الردم عاديه 38+37;2;5;2;صرف خزينة;خرسانة عادية;اجور يومية
766-01;21/06/2022;7000;1110;2120;الخزينة;حساب مستحقات مقاولي الباطن;دفعه لمقاول الحفر;5;4;1104;دفعة مقاول;حفر وردم وتسوية;ياسين حفر
767-01;21/06/2022;7000;1110;2120;الخزينة;حساب مستحقات مقاولي الباطن;دفعه لمقاول النجاره (منتصر) 38.43;5;24;1103;دفعة مقاول;نجاره مسلحه ;منتصر
768-01;21/06/2022;1228;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;سباكه الكرافان;2;3;8;صرف خزينة;تجهيز موقع;اصلاح وصيانة
769-01;22/06/2022;35;1110;1410;الخزينة;الأثاث والتجهيزات;جبس +اسمنت ابيض للكرافان ;2;35;1;صرف خزينة;اصول;اثاث
780-01;22/06/2022;700;1110;1410;الخزينة;الأثاث والتجهيزات;تنك مياه كبير لعماره 37+30;2;34;53;صرف خزينة;خزانات مياه;مياة
781-01;22/06/2022;700;1110;1410;الخزينة;الأثاث والتجهيزات;تنك مياه كبير لعماره 26;2;34;53;صرف خزينة;خزانات مياه;مياة
782-01;22/06/2022;600;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;4يوميات عماله للغفير   تخطيط ورش ماء وميزان القامه و ونقل جهاز اختبار التحمل;2;1;2;صرف خزينة;مصاريف ادارية;اجور يومية
783-01;22/06/2022;150;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;ايجار دكاك صغير دك اجناب عاديه 38+43;2;4;24;صرف خزينة;حفر وردم وتسوية;تسويه التربه 
784-01;22/06/2022;8600;1110;5100;الخزينة;تكاليف تنفيذ مباشرة; 20ساعه لودر تنزيل احلال +نقل رتش +اختبار التحمل +نقل ماء للغمر +معاينات قاع الحفر ;2;4;24;صرف خزينة;حفر وردم وتسوية;تسويه التربه 
785-01;22/06/2022;600;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;3ساعات لودر صغير عماره 38;2;4;24;صرف خزينة;حفر وردم وتسوية;تسويه التربه 
786-01;22/06/2022;1400;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;ايجار هراس 38+37;2;4;24;صرف خزينة;حفر وردم وتسوية;تسويه التربه 
787-01;22/06/2022;600;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مياه عماره +43;2;3;53;صرف خزينة;تجهيز موقع;مياة
788-01;22/06/2022;800;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مياه عماره 37;2;3;53;صرف خزينة;تجهيز موقع;مياة
789-01;22/06/2022;17712;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;نقل مخلفات الكسر والرتش  موقع عام;2;4;59;صرف خزينة;حفر وردم وتسوية;نقل مخلفات
790-01;22/06/2022;2000;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;دفعه من حساب اليافطه موقع عام;2;3;9;صرف خزينة;تجهيز موقع;اعلانات
791-01;25/06/2022;125000;1110;2110;الخزينة;ذمم تجارية - موردي المواد;تحويل لهيمكس ;4;25;5178;استحقاق مورد;خرسانة جاهزة;شركة هيمكس
793-01;25/06/2022;295;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;فاتوره كهرباء الكرافان;2;1;56;صرف خزينة;مصاريف ادارية;مصاريف كهرباء
794-01;25/06/2022;220;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;بنزين للمولد;2;1;90;صرف خزينة;مصاريف ادارية;سولار
795-01;25/06/2022;120;1110;5100;الخزينة;تكاليف تنفيذ مباشرة; 2شكاره اسمنت لليافطه ;2;3;9;صرف خزينة;تجهيز موقع;اعلانات
796-01;25/06/2022;6200;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;باقي حساب اليافطه +نقل اليافطه ;2;3;9;صرف خزينة;تجهيز موقع;اعلانات
797-01;25/06/2022;1000;1110;2120;الخزينة;حساب مستحقات مقاولي الباطن;من حساب سياره الموقع;5;36;70000;دفعة مقاول;سيارات مؤجره ;امير سياره موقع 1
798-01;26/06/2022;160;1110;1420;الخزينة;الآلات والمعدات;عد ه للموقع ( كواريك ومقاطف );2;1;49;صرف خزينة;مصاريف ادارية;لوازم و مهمات
799-01;26/06/2022;7800;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;حساب تقارير اختبار تحمل لعمارات37+ معاينه قاع حفر 24.26.27.28.29.30.31.32;2;4;24;صرف خزينة;حفر وردم وتسوية;تسويه التربه 
800-01;26/06/2022;100;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;ادوات مكتبيه وطباعه;2;1;4;صرف خزينة;مصاريف ادارية;ادوات مكتبيه 
801-01;27/06/2022;210;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;فاتوره عده للموقع;2;1;4;صرف خزينة;مصاريف ادارية;ادوات مكتبيه 
802-01;27/06/2022;300;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;اكراميه معمل التربه;2;1;11;صرف خزينة;مصاريف ادارية;اكراميات
803-01;27/06/2022;200;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;يوميه عامل تسويه عاديه 30.37.26.32;2;4;2;صرف خزينة;حفر وردم وتسوية;اجور يومية
804-01;27/06/2022;400;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;مصنعيه تركيب سباكه الكرافان;2;12;8;صرف خزينة;صحى وسباكة;اصلاح وصيانة
805-01;27/06/2022;100;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;اكراميه صب عاديه 37;2;1;11;صرف خزينة;مصاريف ادارية;اكراميات
806-01;28/06/2022;30;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;تصوير اوراق;2;1;26;صرف خزينة;مصاريف ادارية;مصاريف تصوير
807-01;28/06/2022;565;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;ادوات مكتبيه +كولدير +شاي +سكر +غلاي+كبيات+تنزيل نسخه للكمبيوتر+اجره توكتوك;2;1;18;صرف خزينة;مصاريف ادارية;بوفية وضيافة
808-01;28/06/2022;100;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;يوميه عامل ;2;1;2;صرف خزينة;مصاريف ادارية;اجور يومية
809-01;28/06/2022;100;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;يوميه عامل ;2;1;2;صرف خزينة;مصاريف ادارية;اجور يومية
810-01;28/06/2022;40;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;ماء للكرافان حلو;2;1;53;صرف خزينة;مصاريف ادارية;مياة
811-01;28/06/2022;300;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;سلفه لحسام من راتب شهر 6;2;1;50;صرف خزينة;مصاريف ادارية;مرتبات
812-01;28/06/2022;160;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;بنزين للمولد;2;1;90;صرف خزينة;مصاريف ادارية;سولار
813-01;29/06/2022;200;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;اكراميه تقارير التربه;2;1;11;صرف خزينة;مصاريف ادارية;اكراميات
814-01;30/06/2022;60;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;تصوير اوراق السراكي +رزه قفل للغفير;2;1;26;صرف خزينة;مصاريف ادارية;مصاريف تصوير
815-01;30/06/2022;10000;1110;2120;الخزينة;حساب مستحقات مقاولي الباطن;دفعه لمقاول الحفر;5;4;1104;دفعة مقاول;حفر وردم وتسوية;ياسين حفر
816-01;30/06/2022;18970;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;ايجار لودر;2;4;24;صرف خزينة;حفر وردم وتسوية;تسويه التربه 
817-01;30/06/2022;7000;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;ايجلر هراس;2;4;24;صرف خزينة;حفر وردم وتسوية;تسويه التربه 
818-01;30/06/2022;3000;1110;2120;الخزينة;حساب مستحقات مقاولي الباطن;دفعه من مستخلص ابو عمرو( نجاره);5;24;1100;دفعة مقاول;نجاره مسلحه ;محمد شحاتة
819-01;30/06/2022;5000;1110;2120;الخزينة;حساب مستحقات مقاولي الباطن;دفعه من مستخلص  مصطفي كرم (مياه);5;40;70001;دفعة مقاول;مياه;مصطفي مياه
820-01;30/06/2022;3000;1110;2120;الخزينة;حساب مستحقات مقاولي الباطن;دفعه من مستخلص محمد جمال( نجاره);5;24;1099;دفعة مقاول;نجاره مسلحه ;محمد جمال
821-01;30/06/2022;5000;1110;2120;الخزينة;حساب مستحقات مقاولي الباطن;دفعه من مستخلص منتصر( نجاره);5;24;1103;دفعة مقاول;نجاره مسلحه ;منتصر
822-01;30/06/2022;1050;1110;2120;الخزينة;حساب مستحقات مقاولي الباطن;سياره الموقع 5 ايام;5;36;70000;دفعة مقاول;سيارات مؤجره ;امير سياره موقع 1
823-01;30/06/2022;750;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;حساب العامل عيد من يوم 25حتي يوم29;2;1;2;صرف خزينة;مصاريف ادارية;اجور يومية
824-01;04/07/2022;200;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;من حساب العامل ابو رهف;2;1;2;صرف خزينة;مصاريف ادارية;اجور يومية
825-01;04/07/2022;500;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;حساب العامل عيد 3 ايام;2;1;2;صرف خزينة;مصاريف ادارية;اجور يومية
826-01;04/07/2022;200;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;اكراميه سهره الاستشاري للصبه24.30.31 ولم يتم الصب;2;1;11;صرف خزينة;مصاريف ادارية;اكراميات
827-01;04/07/2022;100;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;من حساب العامل ابو رهف;2;1;2;صرف خزينة;مصاريف ادارية;اجور يومية
828-01;04/07/2022;250000;1110;2110;الخزينة;ذمم تجارية - موردي المواد;دفعه من ح شركه هيمكس للخرسانه;4;25;5178;استحقاق مورد;خرسانة جاهزة;شركة هيمكس
829-01;04/07/2022;400;1110;5100;الخزينة;تكاليف تنفيذ مباشرة;نجاره حوض الزرع تحت اليافطه;2;3;9;صرف خزينة;تجهيز موقع;اعلانات
830-01;04/07/2022;7000;1110;2120;الخزينة;حساب مستحقات مقاولي الباطن;دفعه من مستخلص ابو عمرو( نجاره);5;24;1100;دفعة مقاول;نجاره مسلحه ;محمد شحاتة
831-01;04/07/2022;3000;1110;2120;الخزينة;حساب مستحقات مقاولي الباطن;دفعه من مستخلص حماده عبد العال( النجار);5;24;1096;دفعة مقاول;نجاره مسلحه ;حمادة عبدالعال
832-01;04/07/2022;2000;1110;2120;الخزينة;حساب مستحقات مقاولي الباطن;دفعه من مستخلص محمد جمال ( النجار);5;24;1099;دفعة مقاول;نجاره مسلحه ;محمد جمال
833-01;04/07/2022;4000;1110;2120;الخزينة;حساب مستحقات مقاولي الباطن;دفعه من مستخلص صبري مصطفي ( هاني) ( النجار );5;24;1097;دفعة مقاول;نجاره مسلحه ;صبرى عبدالمعطى
